"Time","avg(u_rms)"
0.109348,0.0078208607
0.109894,0.0080354998
0.110437,0.0082644828
0.110983,0.0084847334
0.111528,0.0087176672
0.112075,0.008945828
0.112622,0.0091842833
0.113167,0.0094250801
0.113704,0.0096623773
0.114235,0.0098996623
0.114759,0.010129028
0.115279,0.010365118
0.115795,0.010603457
0.116306,0.010841342
0.116815,0.011083022
0.117321,0.011315585
0.117825,0.011556042
0.118328,0.011787978
0.118827,0.012023514
0.119325,0.012258933
0.119821,0.012495076
0.120315,0.012728015
0.120807,0.012964892
0.121299,0.013204626
0.121791,0.013441458
0.12228,0.013681611
0.12277,0.013914651
0.123257,0.014152218
0.123745,0.014380623
0.124228,0.014614679
0.12471,0.014845449
0.12519,0.015071008
0.125667,0.015290237
0.126142,0.015518997
0.126616,0.015740421
0.127087,0.015960027
0.127557,0.016180521
0.128024,0.016406515
0.128491,0.016624236
0.128955,0.016848636
0.129418,0.017061181
0.129878,0.017273421
0.130336,0.017484955
0.130792,0.017703439
0.131249,0.017919896
0.131703,0.01813462
0.132155,0.01835168
0.132603,0.018569468
0.133046,0.018777688
0.133486,0.018992513
0.133921,0.019202964
0.134351,0.019412238
0.134779,0.019624845
0.135203,0.019833963
0.135623,0.020034676
0.136039,0.02024762
0.136453,0.020455377
0.136863,0.020668355
0.137271,0.020868374
0.137676,0.02106107
0.138078,0.021255206
0.138478,0.021453079
0.138876,0.021653578
0.139272,0.021846135
0.139665,0.022039634
0.140056,0.022230009
0.140445,0.022426491
0.140831,0.022625194
0.141215,0.022825939
0.141598,0.023019207
0.141979,0.023220042
0.142358,0.023409057
0.142734,0.023595649
0.143109,0.023793437
0.143481,0.02398896
0.143853,0.024183512
0.144222,0.024374242
0.14459,0.024571867
0.144956,0.024768404
0.14532,0.024958773
0.145682,0.02516109
0.146043,0.025352686
0.146403,0.025549258
0.14676,0.025747114
0.147116,0.025945217
0.147471,0.026147513
0.147823,0.026345028
0.148175,0.026541803
0.148526,0.02674516
0.148875,0.026937423
0.149222,0.027138123
0.149567,0.02734398
0.149913,0.027540491
0.150258,0.027748296
0.150601,0.027947445
0.150942,0.028161096
0.151283,0.028367834
0.151621,0.028580833
0.151958,0.028790869
0.152294,0.028999086
0.152628,0.029209026
0.152961,0.029417237
0.153292,0.029639127
0.153622,0.029854947
0.153952,0.030065123
0.154282,0.030296092
0.15461,0.030508998
0.154936,0.030721825
0.155262,0.03094474
0.155586,0.031163421
0.155909,0.031386215
0.15623,0.031615584
0.156551,0.03183764
0.15687,0.032062039
0.157187,0.03229126
0.157503,0.032524858
0.157818,0.032753107
0.158132,0.032982675
0.158444,0.033217172
0.158756,0.033450098
0.159066,0.033683751
0.159376,0.033920976
0.159684,0.034165553
0.159992,0.034395377
0.160298,0.03462796
0.160603,0.034864022
0.160907,0.035107643
0.16121,0.035352547
0.161513,0.035587085
0.161814,0.035830751
0.162114,0.036084145
0.162413,0.036331726
0.162711,0.036587205
0.163009,0.036840242
0.163306,0.037105121
0.163601,0.037357418
0.163896,0.037618447
0.164189,0.037874771
0.164482,0.03814395
0.164774,0.038413295
0.165065,0.038675833
0.165355,0.038945386
0.165644,0.039212275
0.165932,0.03948231
0.16622,0.039759778
0.166507,0.040031596
0.166793,0.040303353
0.167078,0.040573822
0.167362,0.040852303
0.167645,0.041130049
0.167928,0.041423681
0.16821,0.04170056
0.168491,0.041984899
0.16877,0.042263402
0.169046,0.042555914
0.169319,0.04284606
0.16959,0.043141848
0.169859,0.043437094
0.170125,0.043717662
0.170388,0.044006996
0.170649,0.04429372
